task,model,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
context,phi3,0.7727272727272727,0.5,0.38636363636363635,0.4358974358974359,0.7727272727272727,0.7727272727272727,0.7727272727272727,1.0,0.7727272727272727,0.8717948717948718
context,roberta,0.9090909090909091,0.5,0.45454545454545453,0.47619047619047616,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809524
activity_type,phi3,0.1891891891891892,0.25,0.08333333333333333,0.125,0.1891891891891892,0.1891891891891892,0.1891891891891892,0.5675675675675675,0.1891891891891892,0.28378378378378377
activity_type,roberta,0.8918918918918919,0.75,0.7662037037037037,0.741711229946524,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9594594594594594,0.8918918918918919,0.9151996916702798
